epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9661.51,1.70182,4.05087,1.92208,0.58956,0.13819,0.11443,0.04207,1.85952,4.23875,2.49068,0.000208046,0.000208046,0.000208046
2,9831.75,1.7068,3.14842,1.91501,0.25959,0.14519,0.14081,0.05498,1.87333,3.82368,2.45836,0.000408135,0.000408135,0.000408135
3,9309.65,1.70373,2.77528,1.89211,0.23315,0.1542,0.1407,0.0496,2.14796,3.9952,2.70659,0.000599974,0.000599974,0.000599974
4,19148.5,1.7545,2.77843,1.94739,0.25201,0.17129,0.16268,0.06355,1.81158,3.89789,2.36203,0.000587875,0.000587875,0.000587875
5,9362.89,1.67221,2.48479,1.86514,0.28877,0.18562,0.18947,0.069,1.9599,4.34572,2.57012,0.0005755,0.0005755,0.0005755
6,19711.7,1.65979,2.43446,1.86431,0.29424,0.24241,0.2361,0.0976,1.7679,3.9997,2.27545,0.000563125,0.000563125,0.000563125
7,27833.1,1.68051,2.37343,1.87365,0.28007,0.22594,0.23413,0.09066,1.83302,4.25872,2.37052,0.00055075,0.00055075,0.00055075
8,35881.3,1.65547,2.3185,1.8521,0.31581,0.25111,0.26421,0.11375,1.7555,4.06787,2.25421,0.000538375,0.000538375,0.000538375
9,43938.9,1.64621,2.23607,1.82875,0.35699,0.21766,0.26483,0.11491,1.69945,4.21236,2.18018,0.000526,0.000526,0.000526
10,8577.47,1.57892,2.08978,1.77589,0.36371,0.26209,0.29756,0.12941,1.79155,4.27557,2.26906,0.000513625,0.000513625,0.000513625
11,8603.26,1.46925,1.82738,1.68993,0.54088,0.26118,0.29391,0.12488,1.82988,4.20448,2.29541,0.00050125,0.00050125,0.00050125
12,18876.3,1.57141,2.03611,1.78363,0.45837,0.28123,0.30324,0.135,1.73181,4.09376,2.21436,0.000488875,0.000488875,0.000488875
13,29876.1,1.56898,1.95716,1.77025,0.56877,0.28237,0.32532,0.14328,1.72928,4.26974,2.20242,0.0004765,0.0004765,0.0004765
14,38697.1,1.54944,1.91902,1.7565,0.53624,0.28291,0.31577,0.14564,1.74105,4.29832,2.20875,0.000464125,0.000464125,0.000464125
15,11291.6,1.43444,1.69292,1.66034,0.54984,0.30607,0.34263,0.15736,1.81946,4.39044,2.27533,0.00045175,0.00045175,0.00045175
16,8756.36,1.31616,1.45906,1.56967,0.56256,0.2885,0.31254,0.13764,1.9093,4.43639,2.3737,0.000439375,0.000439375,0.000439375
17,17510.9,1.47843,1.75714,1.70592,0.57574,0.3025,0.32888,0.14666,1.86579,4.43848,2.33382,0.000427,0.000427,0.000427
18,11029.4,1.26638,1.35259,1.53132,0.56173,0.2907,0.32503,0.14756,1.92654,4.40201,2.40492,0.000414625,0.000414625,0.000414625
19,9023.6,1.16079,1.18815,1.45437,0.5631,0.27651,0.29998,0.12906,1.99879,4.44788,2.4882,0.00040225,0.00040225,0.00040225
20,10186.7,1.10191,1.08618,1.40785,0.52431,0.28116,0.28362,0.12214,2.04224,4.43918,2.55002,0.000389875,0.000389875,0.000389875
21,10615.2,1.04641,1.00389,1.36842,0.60759,0.29088,0.30383,0.12819,2.01491,4.42261,2.55229,0.0003775,0.0003775,0.0003775
22,19684.2,1.42885,1.58101,1.66386,0.55881,0.30991,0.32901,0.14663,1.86394,4.50613,2.34173,0.000365125,0.000365125,0.000365125
23,15277.3,1.01746,0.97983,1.34766,0.56054,0.29414,0.32386,0.13881,2.0079,4.46146,2.55912,0.00035275,0.00035275,0.00035275
24,9835.61,0.94104,0.8595,1.29048,0.53216,0.29977,0.31596,0.13315,2.04252,4.51291,2.65655,0.000340375,0.000340375,0.000340375
25,9961.28,0.91265,0.81021,1.26465,0.67102,0.27135,0.31254,0.13646,2.06222,4.56434,2.67068,0.000328,0.000328,0.000328
26,18964.4,1.33189,1.39831,1.59658,0.57079,0.31168,0.3298,0.14702,1.90617,4.74369,2.43408,0.000315625,0.000315625,0.000315625
27,9409.85,0.87804,0.79094,1.24663,0.82979,0.29286,0.33282,0.14657,2.06427,4.48426,2.69827,0.00030325,0.00030325,0.00030325
28,9377.53,0.79767,0.68798,1.18845,0.76465,0.28067,0.33011,0.144,2.08739,4.40459,2.74795,0.000290875,0.000290875,0.000290875
29,18758.8,1.23845,1.22895,1.52633,0.5503,0.31254,0.33138,0.14643,1.98114,4.81749,2.61654,0.0002785,0.0002785,0.0002785
30,28151.6,1.48527,1.58128,1.70913,0.49278,0.32133,0.35555,0.16477,1.81886,4.70822,2.31756,0.000266125,0.000266125,0.000266125
31,39568.6,1.45443,1.54239,1.67636,0.60866,0.31365,0.36431,0.16999,1.82054,4.53947,2.29541,0.00025375,0.00025375,0.00025375
32,13974.9,0.83103,0.76632,1.21988,0.56744,0.31968,0.358,0.15924,2.14146,4.87016,2.78006,0.000241375,0.000241375,0.000241375
33,26523.1,1.12366,1.06946,1.43876,0.5907,0.29618,0.3384,0.15526,2.10955,5.25982,2.75917,0.000229,0.000229,0.000229
